company,allvitr_score,recommendation,rationale,official_name,orgnr,official_name_confidence,official_name_reasoning
Fortnox,-55.66,Monitor,regulatory change response (n/a) – (impact direction: -1) regulatory scrutiny on Fortnox,,,0.0,No match in Brønnøysund.
Tromsø idrettslag,-60.12,Monitor,cost cutting (n/a) – (impact direction: -1) financial restructuring to improve liquidity and payment capabilities; profit warning (n/a) – (impact direction: -1) potential financial instability if sales do not meet expectations,TROMSØ IDRETTSLAG 2020,926366203,0.96,Brreg match (score=5.7). Valid orgnr.
Saudi Arabia's Public Investment Fund,-64.29,Monitor,cost cutting (Saudi Arabia) – (impact direction: -1) incurred an $8 billion loss; contract loss (Saudi Arabia) – (impact direction: -1) value of these projects decreased by 12.4%,ROYAL EMBASSY OF SAUDI ARABIA IN NORWAY,996150704,0.96,Brreg match (score=5.15). Valid orgnr.
Akva Group,-67.23,Monitor,regulatory change response (n/a) – (impact direction: 1) increased scrutiny on financial practices due to regulatory actions; layoffs downsizing (n/a) – (impact direction: -1) laying off 50 employees; cost cutting (n/a) – (impact direction: -1) potential cost-cutting measures; cost cutting (n/a) – (impact direction: -1) facing financial difficulties or restructuring,AKVA GROUP CHILE S.A.,835361012,0.96,Brreg match (score=6.75). Valid orgnr.
Kystverket,-70.77,Monitor,project hiring surge (n/a) – (impact direction: -1) a negative budget decision could end the project; funding (n/a) – (impact direction: -1) Potential cancellation of the project if the government denies funding,KYSTVERKET ÅLESUND NØRVE,974702894,0.96,Brreg match (score=5.25). Valid orgnr.
Lasto Aps,-71.82,Monitor,"bankruptcy insolvency (n/a) – (impact direction: -1) Lasto Aps, a company founded in 1993, has gone bankrupt",BAGEBIXEN.DK APS,931765124,0.96,Brreg match (score=4.0). Valid orgnr.
Argeo,-79.8,Monitor,"bankruptcy insolvency (n/a) – (impact direction: -1) Argeo filed for bankruptcy, owing over 1 billion NOK",ARGEO ASA,913743075,0.96,Brreg match (score=5.25). Valid orgnr.
Morrow,-80.8,Monitor,layoffs downsizing (n/a) – (impact direction: -1) Morrow announces layoffs of up to 60 employees; profit warning (n/a) – (impact direction: -1) Morrow reported a loss of 333 million NOK last year,MORROW BANK ASA,998997801,0.96,Brreg match (score=5.25). Valid orgnr.
Bergans,-80.8,Monitor,"layoffs downsizing (n/a) – (impact direction: -1) Bergans is undergoing layoffs, indicating potential financial distress.; profit warning (n/a) – (impact direction: -1) The company reported a loss of 200 million NOK, suggesting a need for improved financial management tools.",BERGANS COACHING,832915742,0.96,Brreg match (score=5.25). Valid orgnr.
Next Biometrics,-85.19,Monitor,profit warning (n/a) – (impact direction: -1) pre-tax loss of 19.7 million NOK in Q2 2025; cost cutting (n/a) – (impact direction: -1) adjusted financial statements; contract loss (n/a) – (impact direction: -1) risk of not recovering products previously delivered to distributors in China,NEXT BIOMETRICS GROUP ASA,982904420,0.96,Brreg match (score=6.4). Valid orgnr.
Artesia,-102.88,Monitor,bankruptcy insolvency (n/a) – (impact direction: -1) Artesia has filed for bankruptcy; public tender consulting (n/a) – (impact direction: 1) potential for RFPs or tenders for accounting services; cost cutting (n/a) – (impact direction: -1) leading to liquidity issues; contract loss (n/a) – (impact direction: -1) over 50 employees rammes,ARTESIA AS KONKURSBO,935971519,0.96,Brreg match (score=5.25). Valid orgnr.
XXL,-107.61,Monitor,cost cutting (n/a) – (impact direction: -1) indicating financial distress; profit warning (n/a) – (impact direction: -1) significant risks associated with XXL's financial performance; contract loss (n/a) – (impact direction: -1) financial difficulties may lead to a search for more efficient accounting and payroll solutions; contract loss (n/a) – (impact direction: -1) Companies in distress often seek to switch from legacy accounting tools to more efficient SaaS solutions,XXL CHILDREN'S FOUNDATION STI,914236703,0.96,Brreg match (score=5.6). Valid orgnr.
Advokatfirmaet Danielsen,-124.39,Monitor,layoffs downsizing (n/a) – (impact direction: -1) indicating instability within the firm; cost cutting (n/a) – (impact direction: -1) excessive hours billed without proper client communication; contract loss (n/a) – (impact direction: -1) potential revocation of licenses; strategy lock in (n/a) – (impact direction: -1) potential for client migration to other legal service providers,ADVOKATFIRMAET DANIELSEN & CO AS,983952232,0.96,Brreg match (score=5.7). Valid orgnr.
Bourbon Offshore,-199.0,Monitor,"layoffs downsizing (n/a) – (impact direction: -1) 120 Scandinavian seafarers laid off at Bourbon Offshore; public tender consulting (n/a) – (impact direction: -1) Tenders/RFPs for accounting and payroll services are likely to arise; cost cutting (n/a) – (impact direction: -1) Recent layoffs and staff reductions signal a shift in operational needs; cost cutting (n/a) – (impact direction: -1) Companies facing layoffs may seek to streamline operations; cost cutting (n/a) – (impact direction: -1) Negative risk events, such as layoffs and operational cutbacks, often lead to a reevaluation of financial tools",BOURBON OFFSHORE GAIA,927378698,0.96,Brreg match (score=6.4). Valid orgnr.
